"","B14006_001","B14006_002","B14006_003","B14006_004","B14006_005","B14006_006","B14006_007","B14006_008","B14006_009","B14006_010","B14006_011","B14006_012","B14006_013","B14006_014","B14006_015","B14006_016","B14006_017","B14006_018","B14006_019","B14006_020","B14006_021","B16009_001","B16009_002","B16009_003","B16009_004","B16009_005","B16009_006","B16009_007","B16009_008","B16009_009","B16009_010","B16009_011","B16009_012","B16009_013","B16009_014","B16009_015","B16009_016","B16009_017","B16009_018","B16009_019","B16009_020","B16009_021","B16009_022","B16009_023","B16009_024","B16009_025","B16009_026","B16009_027","B19013_001","B19013A_001","B19013B_001","B19013C_001","B19013D_001","B19013E_001","B19013F_001","B19013G_001","B19013H_001","B19013I_001","B19019_001","B19019_002","B19019_003","B19019_004","B19019_005","B19019_006","B19019_007","B19019_008","B19049_001","B19049_002","B19049_003","B19049_004","B19049_005","B25099_001","B25099_002","B25099_003","B25119_001","B25119_002","B25119_003","B10010_001","B10010_002","B10010_003","B19113_001","B19113A_001","B19113B_001","B19113C_001","B19113D_001","B19113E_001","B19113F_001","B19113G_001","B19113H_001","B19113I_001","B19119_001","B19119_002","B19119_003","B19119_004","B19119_005","B19119_006","B19119_007","B19121_001","B19121_002","B19121_003","B19121_004","B19121_005","B19125_001","B19125_002","B19125_003","B19126_001","B19126_002","B19126_003","B19126_004","B19126_005","B19126_006","B19126_007","B19126_008","B19126_009","B19126_010","B19126_011","B19301_001","B19301A_001","B19301B_001","B19301C_001","B19301D_001","B19301E_001","B19301F_001","B19301G_001","B19301H_001","B19301I_001","B22003_001","B22003_002","B22003_003","B22003_004","B22003_005","B22003_006","B22003_007","B08137_001","B08137_002","B08137_003","B08137_004","B08137_005","B08137_006","B08137_007","B08137_008","B08137_009","B08137_010","B08137_011","B08137_012","B08137_013","B08137_014","B08137_015","B08137_016","B08137_017","B08137_018","B08137_019","B08137_020","B08137_021","B08537_001","B08537_002","B08537_003","B08537_004","B08537_005","B08537_006","B08537_007","B08537_008","B08537_009","B08537_010","B08537_011","B08537_012","B08537_013","B08537_014","B08537_015","B08537_016","B08537_017","B08537_018","B08537_019","B08537_020","B08537_021","B09001_001","B09001_002","B09001_003","B09001_004","B09001_005","B09001_006","B09001_007","B09001_008","B09001_009","B09001_010","B09008_001","B09008_002","B09008_003","B09008_004","B09008_005","B09008_006","B09008_007","B09008_008","B09008_009","B09008_010","B09008_011","B09008_012","B11001_001","B11001_002","B11001_003","B11001_004","B11001_005","B11001_006","B11001_007","B11001_008","B11001_009","B11017_001","B11017_002","B11017_003","B12007_001","B12007_002","B12007A_001","B12007A_002","B12007C_001","B12007C_002","B12007D_001","B12007D_002","B12007E_001","B12007E_002","B12007F_001","B12007F_002","B12007G_001","B12007G_002","B12007H_001","B12007H_002","B12007I_001","B12007I_002","B16010_001","B16010_002","B16010_003","B16010_004","B16010_005","B16010_006","B16010_007","B16010_008","B16010_009","B16010_010","B16010_011","B16010_012","B16010_013","B16010_014","B16010_015","B16010_016","B16010_017","B16010_018","B16010_019","B16010_020","B16010_021","B16010_022","B16010_023","B16010_024","B16010_025","B16010_026","B16010_027","B16010_028","B16010_029","B16010_030","B16010_031","B16010_032","B16010_033","B16010_034","B16010_035","B16010_036","B16010_037","B16010_038","B16010_039","B16010_040","B16010_041","B16010_042","B16010_043","B16010_044","B16010_045","B16010_046","B16010_047","B16010_048","B16010_049","B16010_050","B16010_051","B16010_052","B16010_053","B25081_001","B25081_002","B25081_003","B25081_004","B25081_005","B25081_006","B25081_007","B25081_008","B25082_001","B25082_002","B25082_003","B25102_001","B25102_002","B25102_003","B25102_004","B25102_005","B25102_006","B25102_007","B25102_008","B25102_009","B25102_010","B25102_011","B25102_012","B25102_013","B25102_014","B25102_015","B25103_001","B25103_002","B25103_003","B992522_001","B992522_002","B992522_003","B992522_004","B992522_005","B992522_006","B992522_007","B27015_001","B27015_002","B27015_003","B27015_004","B27015_005","B27015_006","B27015_007","B27015_008","B27015_009","B27015_010","B27015_011","B27015_012","B27015_013","B27015_014","B27015_015","B27015_016","B27015_017","B27015_018","B27015_019","B27015_020","B27015_021","B27015_022","B27015_023","B27015_024","B27015_025","B27015_026","C02003_001","C02003_002","C02003_003","C02003_004","C02003_005","C02003_006","C02003_007","C02003_008","C02003_009","C02003_010","C02003_011","C02003_012","C02003_013","C02003_014","C02003_015","C02003_016","C02003_017","C02003_018","C02003_019"
"Nelson County Public Schools, Virginia",14439,2067,267,0,22,80,61,97,7,0,1800,12372,2488,164,175,487,748,480,282,152,9884,14207,2027,245,245,0,0,0,0,1782,1747,10,13,12,0,12180,1946,1911,35,0,0,0,10234,9957,132,145,0,0,48789,48945,47435,NA,NA,NA,NA,51389,48442,61649,48789,23257,58851,58609,60288,65463,NA,47831,48789,14808,54568,53703,33090,57736,63059,42877,48789,57736,33281,46811,47321,NA,59191,62299,57431,NA,NA,NA,NA,NA,62607,61649,59191,59099,58345,54609,61828,NA,48750,59191,27396,46887,67353,89667,59191,58632,59540,59191,66554,69177,65483,38153,62532,NA,63269,38139,39119,26892,26059,26243,17250,NA,NA,NA,3500,33452,26258,25037,6404,753,437,316,5651,469,5182,6365,4884,1481,4835,3789,1046,818,567,251,36,0,36,67,42,25,205,175,30,404,311,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2867,2867,275,279,245,384,527,530,627,0,2867,476,408,122,286,68,2391,2391,1477,90,824,0,6404,4163,2943,1220,223,997,2241,1931,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11110,2138,660,660,0,0,0,0,1478,1466,0,0,12,0,3605,2123,2114,0,9,0,0,1482,1460,0,22,0,0,2403,1610,1553,45,12,0,0,793,778,7,8,0,0,2964,1962,1839,55,68,0,0,1002,938,25,39,0,0,4856,2770,393,45,348,0,2377,2086,1192191800,773596500,418595400,4856,2770,718,1182,274,294,302,0,2086,842,650,104,237,149,104,1091,1157,986,4856,2770,1035,1735,2086,360,1726,14806,2917,2213,994,1744,704,3814,3092,2318,1370,722,3665,3328,3029,1032,337,1965,1928,1793,428,37,2445,2382,2305,488,63,14940,14875,12405,2407,14,33,0,16,65,0,65,65,0,48,17,0,0,0,0
"New Kent County Public Schools, Virginia",17727,1036,290,0,49,19,118,48,56,0,746,16691,4225,340,200,895,929,904,849,108,12466,17278,1016,234,224,0,0,10,0,782,761,0,12,0,9,16262,2930,2831,71,1,16,11,13332,13011,125,153,43,0,70618,71922,56157,91875,51700,NA,NA,75650,71138,105272,70618,39594,70473,80500,95795,86164,69091,78929,70618,NA,74745,81372,41853,73469,84187,46650,70618,73469,51607,75433,65185,NA,78995,81186,68988,132578,51700,NA,NA,76600,80459,105272,78995,70538,81473,92184,89250,69773,78929,78995,37398,51906,102438,92027,78995,87750,75666,78995,87872,94063,79570,56390,68897,46686,74760,56148,55110,56699,32068,33129,28508,47717,17408,NA,14241,14096,33378,19074,6886,369,136,233,6517,235,6282,9516,8438,1078,7933,7115,818,897,694,203,55,55,0,2,2,0,78,78,0,551,494,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4124,4124,511,449,201,704,587,852,820,0,4124,179,146,53,93,33,3945,3945,2868,232,845,0,6886,5288,4355,933,267,666,1598,1339,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13386,1503,778,747,13,0,18,0,725,714,10,0,0,1,4488,3038,2963,35,15,25,0,1450,1431,19,0,0,0,4283,3222,3143,44,28,0,7,1061,1055,6,0,0,0,3112,2572,2459,16,97,0,0,540,524,5,11,0,0,6127,4453,913,190,723,12,3528,1674,1653843500,1301384700,352458800,6127,4453,260,993,1034,1368,755,43,1674,149,542,345,331,189,118,1877,1960,1626,6127,4453,1374,3079,1674,340,1334,18194,1363,1144,798,675,219,2799,2234,1703,1080,565,4160,3796,3322,1062,364,3417,3024,2685,559,393,6455,6172,6041,521,283,18791,18491,15379,2797,129,103,0,83,300,0,300,300,63,164,51,17,5,0,0
"Newport News City Public Schools, Virginia",164148,24135,10382,872,775,2517,1571,1911,2376,360,13753,140013,38134,2142,1898,7149,6934,7200,10204,2607,101879,159165,22533,6495,5895,452,43,91,14,16038,14004,1290,258,372,114,136632,22793,20766,1454,291,232,50,113839,101477,6337,2746,2565,714,51027,60936,39003,49773,50094,54750,32730,48143,61545,48165,51027,31115,59783,58187,68464,69336,66413,64549,51027,32114,50993,60332,40999,68974,75620,50792,51027,68974,35658,56272,53482,46875,59514,71630,46026,36339,50956,71250,32857,50888,73106,46196,59514,57219,55384,70315,69688,62486,63814,59514,36118,41048,74757,99971,59514,49705,68121,59514,76099,74081,77309,32976,46897,38530,57717,30360,24707,44538,25310,30727,19942,16323,22768,20750,16969,16386,32060,17841,69211,9175,4775,4400,60036,4889,55147,84008,46197,37811,68842,40190,28652,8498,3366,5132,2462,486,1976,1434,325,1109,1138,601,537,1634,1229,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43506,43275,8500,5024,2638,6951,7264,6229,6669,231,43257,3561,3502,1345,2157,59,39696,39554,24003,1779,13772,142,69211,43720,27636,16084,3337,12747,25491,20995,4496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113407,12287,6101,4150,1423,152,337,39,6186,5492,267,140,259,28,32722,21375,18640,1462,473,689,111,11347,10478,388,214,193,74,41329,31846,28912,1718,622,478,116,9483,8876,147,280,144,36,27069,21124,18926,909,675,423,191,5945,5318,130,191,256,50,35601,26167,5276,1356,3920,207,20684,9434,7837227100,5995952700,1841274400,35601,26167,1625,4335,4969,8555,5873,810,9434,1210,1332,1263,3283,1514,832,2190,2205,2151,35601,26167,8297,17870,9434,3114,6320,168240,30226,23963,10485,16728,6263,40185,32488,25887,12419,7697,37497,32038,28069,8449,5459,25180,22546,21407,3725,2634,35152,32607,31023,5285,2545,181025,173653,92125,72802,666,5067,373,2620,7372,606,6766,6555,2465,732,1349,824,1185,804,13
"Norfolk City Public Schools, Virginia",211480,39750,17066,1193,999,3357,2548,2356,5558,1055,22684,171730,43886,2514,2225,7713,7119,7328,13738,3249,127844,204721,37636,9366,8810,416,34,76,30,28270,25361,1389,696,517,307,167085,23722,21760,1169,370,291,132,143363,128374,6993,3322,3747,927,44747,54471,33228,26250,52888,65450,44773,48229,55332,43096,44747,28459,53439,53254,58415,60372,53013,59489,44747,26891,48325,52028,35223,64441,70584,45213,44747,64441,32315,42756,38000,21635,51986,67635,38581,22143,55064,53800,27791,57910,70041,45021,51986,50316,50702,58940,57692,52306,58097,51986,25220,36749,70681,88384,51986,43627,59149,51986,70337,68384,71726,30935,44955,38542,48298,27042,22063,36221,24659,32118,17209,21444,25937,17728,18154,15546,33277,18659,85557,13606,7155,6451,71951,7967,63984,107739,51286,56453,83007,42671,40336,11758,4267,7491,4631,1003,3628,3678,1126,2552,2423,1013,1410,2242,1206,1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50408,50227,9879,6810,3003,8428,8095,6932,7080,181,50222,3366,3193,1392,1801,173,46856,46595,23967,2995,19633,261,85557,49478,29373,20105,4820,15285,36079,27852,8227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146077,20433,9350,7878,1099,130,231,12,11083,10325,377,148,199,34,39482,25776,23262,1632,249,526,107,13706,12735,374,374,173,50,49144,37658,34434,1675,638,745,166,11486,10593,238,240,325,90,37018,29117,25115,1241,1279,1147,335,7901,6745,113,409,444,190,38066,28234,6311,1670,4641,299,21624,9832,9563630400,7055268300,2508362100,38066,28234,2576,5755,4915,7057,7049,882,9832,1194,1240,1416,2447,2459,1076,2101,2061,2216,38066,28234,9148,19086,9832,2692,7140,212668,47984,37464,16709,25327,10520,55771,43412,32144,17300,12359,43384,36284,31148,9151,7100,25000,21622,20318,3553,3378,40529,36309,34408,5930,4220,244090,235468,117566,104066,1075,8189,547,4025,8622,841,7781,7733,3261,985,1538,707,1242,862,27
"Northampton County Public Schools, Virginia",11707,2751,551,41,22,171,80,179,58,0,2200,8956,1566,121,77,374,395,325,221,53,7390,11375,2588,455,385,70,0,0,0,2133,2005,121,3,0,4,8787,1279,1124,155,0,0,0,7508,6982,416,50,56,4,33635,52219,15449,NA,NA,NA,NA,NA,51094,66000,33635,15975,53810,40221,73633,57143,42125,NA,33635,12443,45536,41120,24037,42420,64745,30587,33635,42420,20000,29643,21964,12260,52742,65133,26536,NA,NA,NA,NA,NA,64159,105625,52742,52676,36184,74531,56339,42125,NA,52742,22992,36827,69474,120500,52742,49896,53317,52742,61855,72250,57022,24511,28929,29286,27250,23750,17813,26250,23473,29703,13745,NA,20162,NA,9720,3565,30915,18852,5149,778,538,240,4371,729,3642,4814,3443,1371,3679,2679,1000,651,471,180,26,9,17,181,66,115,43,25,18,234,193,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2436,2435,369,332,152,501,355,354,372,1,2435,104,104,55,49,0,2331,2331,1280,59,992,0,5149,2984,2170,814,124,690,2165,1857,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9121,1997,723,646,74,0,0,3,1274,1227,43,4,0,0,3214,1864,1702,136,0,23,3,1350,1277,69,4,0,0,2069,1378,1250,94,14,20,0,691,660,17,7,7,0,1841,1197,1120,52,25,0,0,644,613,22,3,6,0,3533,1592,282,106,176,5,1305,1941,855116000,388804500,466311500,3533,1592,566,435,71,326,192,2,1941,686,615,158,194,148,140,970,1030,941,3533,1592,567,1025,1941,799,1142,11941,3901,2700,1300,2312,1201,2645,1847,1262,1092,798,2344,1931,1547,606,413,891,782,721,169,109,2160,1957,1803,469,203,12339,12319,7525,4674,4,55,0,61,20,8,12,20,3,0,0,0,17,0,0
"Northumberland County Public Schools, Virginia",12107,1335,320,0,0,0,137,135,48,0,1015,10772,1581,137,133,306,399,351,214,41,9191,11803,1335,272,272,0,0,0,0,1063,1043,0,20,0,0,10468,1207,1174,12,6,0,15,9261,9029,54,58,7,113,51342,58496,31029,NA,NA,NA,NA,NA,58521,NA,51342,29239,61555,46488,65024,75057,59052,42407,51342,NA,45142,54211,51250,57990,61648,48706,51342,57990,29567,65289,66431,66069,60747,65331,32047,NA,NA,NA,NA,NA,65372,NA,60747,62623,43694,66250,75057,57888,NA,60747,59633,44681,64492,72045,60747,52990,63916,60747,65234,59953,66320,28119,30000,NA,40625,27865,28017,27240,28568,34498,14237,NA,NA,NA,NA,NA,34557,28049,5691,449,251,198,5242,363,4879,4895,4107,788,3734,3162,572,361,284,77,69,47,22,101,101,0,106,68,38,524,445,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,1996,206,304,116,269,329,414,358,0,1996,294,287,209,78,7,1702,1702,1267,2,433,0,5691,3793,3141,652,102,550,1898,1652,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9714,1400,589,549,40,0,0,0,811,800,0,4,7,0,3015,1566,1539,0,0,0,27,1449,1420,0,29,0,0,3153,1909,1895,6,8,0,0,1244,1183,8,29,0,24,2146,955,919,0,8,0,28,1191,1191,0,0,0,0,4839,2440,479,51,428,32,1929,2399,1520872100,775098400,745773700,4839,2440,915,642,343,347,162,31,2399,1017,577,305,291,174,35,977,977,976,4839,2440,1058,1382,2399,617,1782,12320,1884,1321,735,1083,563,3202,2704,2161,1093,498,3994,3391,2876,1272,603,1570,1510,1423,569,60,1670,1663,1585,744,7,12334,12325,8725,3600,0,0,0,0,9,0,9,9,0,0,0,9,0,0,0
"Norton City Public Schools, Virginia",3875,683,184,8,8,8,0,56,104,0,499,3192,849,23,10,187,227,215,168,19,2343,3829,664,65,65,0,0,0,0,599,589,0,10,0,0,3165,628,616,12,0,0,0,2537,2442,95,0,0,0,39416,37841,66550,NA,NA,NA,NA,NA,37841,NA,39416,15269,51600,56486,59730,67292,NA,NA,39416,52321,56471,38017,24196,55444,62768,50893,39416,55444,25875,65625,28750,NA,56290,55000,64853,NA,NA,NA,NA,NA,55000,NA,56290,39531,56510,59730,67292,NA,NA,56290,22361,42083,63050,113438,56290,48839,56815,56290,59747,63456,58864,28347,15813,NA,11953,30417,30417,33750,22699,23113,19706,NA,NA,NA,18864,8848,23113,18864,1706,441,240,201,1265,179,1086,1746,1010,736,1548,926,622,99,47,52,0,0,0,75,13,62,0,0,0,24,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,813,813,74,46,24,126,201,192,150,0,813,7,7,0,7,0,806,806,446,49,311,0,1706,902,573,329,73,256,804,649,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2649,494,142,111,31,0,0,0,352,352,0,0,0,0,606,317,317,0,0,0,0,289,289,0,0,0,0,1006,669,669,0,0,0,0,337,337,0,0,0,0,543,415,411,4,0,0,0,128,128,0,0,0,0,899,348,61,8,53,5,282,551,96985100,38781000,58204100,899,348,272,50,6,0,0,20,551,326,128,0,9,40,48,596,554,663,899,348,106,242,551,146,405,3949,942,748,268,577,194,999,908,526,515,91,1368,1197,1018,420,171,257,238,238,14,19,383,365,348,39,18,3998,3973,3614,268,0,0,0,91,25,0,25,25,16,0,9,0,0,0,0
"Nottoway County Public Schools, Virginia",14345,2321,335,31,0,60,91,93,60,0,1986,12024,2864,136,177,587,628,699,498,139,9160,14069,2265,222,190,32,0,0,0,2043,1949,47,0,28,19,11804,1977,1887,90,0,0,0,9827,9333,265,206,23,0,36607,42437,31351,NA,NA,NA,67959,23750,42716,22417,36607,18728,45131,55197,42865,68769,36469,97955,36607,14432,38730,46583,24730,46921,60120,32830,36607,46921,26543,47095,40972,15391,52837,58438,38386,NA,NA,NA,67959,24375,58734,22417,52837,45362,55789,55479,69188,54417,58750,52837,18786,42431,68962,76114,52837,46795,53796,52837,59138,61622,56756,39833,46521,63036,45929,31550,29010,49688,19337,22539,15223,10460,4094,NA,15316,9445,23227,9620,5673,1384,640,744,4289,445,3844,6057,3991,2066,4933,3294,1639,575,410,165,16,12,4,118,60,58,260,122,138,155,93,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3218,3218,523,355,162,478,578,577,545,0,3218,412,189,171,18,223,2806,2806,1618,340,848,0,5673,3722,2458,1264,517,747,1951,1686,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11223,2936,986,894,92,0,0,0,1950,1864,73,0,10,3,4318,2435,2325,55,37,18,0,1883,1792,29,62,0,0,2617,1648,1605,16,4,23,0,969,936,8,6,0,19,1352,907,839,0,68,0,0,445,445,0,0,0,0,3674,2050,288,106,182,24,1738,1624,583109700,338332100,244777600,3674,2050,1285,563,88,74,40,0,1624,1018,328,117,75,46,40,593,624,558,3674,2050,688,1362,1624,423,1201,14724,3590,2570,1061,2190,1020,3859,3465,2289,2257,394,3480,2548,2205,698,932,1749,1689,1532,579,60,2046,1885,1762,330,161,15862,15654,9161,6158,50,32,0,253,208,0,208,199,127,42,0,25,5,9,0
"Orange County Public Schools, Virginia",32350,3942,1251,50,157,347,219,306,137,35,2691,28408,6044,404,437,1404,1233,1472,848,246,22364,31404,3783,1054,750,15,278,11,0,2729,2417,78,193,41,0,27621,4472,4088,317,33,0,34,23149,22010,554,396,136,53,60287,62742,31583,NA,112845,NA,62417,46645,62462,73482,60287,27190,66382,73689,68837,59939,49075,100486,60287,48397,63655,67713,50210,68727,74908,54961,60287,68727,30996,60677,42750,43269,67802,68772,45156,NA,113750,NA,62417,14750,68346,74866,67802,63144,77429,68426,60278,48550,101319,67802,51712,53773,83592,90169,67802,61714,70902,67802,76857,84306,74700,36370,51425,40391,68438,31933,29201,36585,27655,29404,19792,30755,24632,NA,20786,10678,29896,16031,12621,1363,597,766,11258,839,10419,14289,10838,3451,11268,8751,2517,1736,1310,426,281,205,76,252,83,169,164,24,140,588,465,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7581,7581,938,983,369,1297,1491,1152,1351,0,7566,655,580,395,185,75,6911,6901,5232,352,1317,10,12621,9425,7233,2192,737,1455,3196,2691,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23951,3601,1598,1461,122,0,15,0,2003,1914,19,43,27,0,8144,4819,4588,118,113,0,0,3325,3121,42,144,18,0,6881,4800,4464,142,120,59,15,2081,1995,48,17,15,6,5325,3245,3071,42,85,25,22,2080,2069,6,5,0,0,9576,6786,1451,366,1085,135,5200,2790,2777402900,1805588900,971814000,9576,6786,807,2741,1299,1368,522,49,2790,524,935,655,421,207,48,1456,1461,1438,9576,6786,1934,4852,2790,718,2072,33374,5029,3435,1140,2861,1594,7051,5662,3989,3029,1389,7252,6503,5677,2191,749,5272,4670,4290,1236,602,8770,8363,7938,1695,407,33934,33256,28175,4493,44,302,0,242,678,24,654,662,400,108,118,0,36,16,0
"Page County Public Schools, Virginia",22877,3303,579,36,51,94,179,115,77,27,2724,19574,4106,188,135,1077,912,1191,528,75,15468,22466,3260,536,508,28,0,0,0,2724,2702,9,0,13,0,19206,3150,3091,32,22,5,0,16056,15610,247,154,35,10,42906,43058,51154,NA,52891,NA,NA,11964,43241,33311,42906,21650,44130,44832,62917,72063,57727,44726,42906,34145,50456,49012,32023,51006,63803,38155,42906,51006,30140,49323,52386,26250,49682,49735,82552,NA,NA,NA,NA,24886,50079,6875,49682,42430,49342,69667,70921,27409,76731,49682,27841,38580,67215,88261,49682,51307,49204,49682,57661,71696,52075,31709,32321,36389,31050,30995,27820,38133,22355,22666,24834,26512,10456,NA,12974,7179,22791,12092,9623,1241,650,591,8382,899,7483,9907,7411,2496,7984,5955,2029,1302,977,325,68,47,21,135,74,61,82,63,19,336,295,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5013,5013,857,411,242,734,906,945,918,0,5006,489,478,249,229,11,4517,4509,3230,384,895,8,9623,6908,5112,1796,563,1233,2715,2191,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17070,4173,1282,1270,12,0,0,0,2891,2848,7,11,25,0,7254,4596,4484,61,33,18,0,2658,2639,0,11,5,3,3696,2588,2487,65,36,0,0,1108,1048,39,21,0,0,1947,1438,1394,11,23,0,10,509,466,24,19,0,0,6930,3645,687,244,443,17,2941,3285,1391023200,763465600,627557700,6930,3645,842,1562,582,441,199,19,3285,938,1104,608,388,162,85,1237,1240,1233,6930,3645,1613,2032,3285,870,2415,23776,4512,3237,1242,2667,1275,7355,5651,3848,2983,1704,4525,4120,3410,1209,405,3892,3676,3372,504,216,3492,3283,2964,903,209,23975,23549,23013,353,33,123,0,27,426,58,368,407,219,119,5,6,58,19,0
"Patrick County Public Schools, Virginia",17693,3008,750,43,74,155,257,119,90,12,2258,14685,3086,68,150,594,781,698,638,157,11599,17460,2944,582,582,0,0,0,0,2362,2343,7,12,0,0,14516,2128,2045,73,10,0,0,12388,12123,154,99,12,0,34864,34741,38472,NA,NA,NA,NA,27396,34867,30954,34864,21332,40688,41890,60250,55859,30667,95966,34864,25714,39548,42333,26655,38367,48839,31517,34864,38367,22715,41277,41197,13333,42547,43254,35000,NA,NA,NA,NA,89191,43459,31349,42547,39788,41994,60750,55859,27202,95966,42547,26910,39058,66042,87986,42547,41250,42714,42547,49411,68796,44193,24269,28427,27109,31250,22628,23314,18203,18860,19168,16113,NA,NA,NA,NA,9406,19466,8218,7846,1195,690,505,6651,695,5956,6953,5580,1373,5756,4742,1014,641,467,174,40,0,40,130,84,46,209,110,99,177,177,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3478,3478,511,233,167,543,710,683,631,0,3478,153,131,0,131,22,3325,3325,2291,195,839,0,7846,5185,4121,1064,179,885,2661,2362,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13733,3398,858,858,0,0,0,0,2540,2540,0,0,0,0,4621,2444,2400,44,0,0,0,2177,2144,10,23,0,0,4241,2496,2422,31,31,12,0,1745,1692,24,26,0,3,1473,1017,974,29,14,0,0,456,456,0,0,0,0,6041,2714,337,79,258,32,2345,3327,872654000,385043000,487611000,6041,2714,1617,777,142,117,34,27,3327,2211,797,26,143,41,109,607,655,583,6041,2714,1266,1448,3327,1156,2171,18190,4431,3275,1501,2703,1156,6274,5367,3426,3159,907,3688,3402,3051,1034,286,2414,2066,1695,487,348,1383,1208,1166,167,175,18445,18292,17061,1204,13,2,0,12,153,0,153,150,58,92,0,0,0,3,0
"Petersburg City Public Schools, Virginia",30222,7838,2612,98,270,704,587,530,382,41,5226,22384,3630,202,176,666,502,1030,873,181,18754,29243,7259,1946,1871,48,27,0,0,5313,5077,132,22,73,9,21984,2281,2198,77,6,0,0,19703,18627,734,232,110,0,34424,43683,31557,49000,53542,NA,29712,36625,43571,34500,34424,22637,40901,46359,51912,47308,32414,22083,34424,20640,35465,41333,27010,48395,55570,36789,34424,48395,24080,54438,35455,19241,40559,57426,37655,49000,12222,NA,NA,3370,60958,30250,40559,40858,39575,51471,47019,30905,27500,40559,20338,35125,70237,80676,40559,28277,48089,40559,55265,60608,54810,28245,39519,35032,46875,26833,19673,36453,18936,27351,16911,20159,30825,NA,15153,16641,30112,13282,12456,3563,1870,1693,8893,770,8123,12063,5980,6083,9364,5031,4333,1757,594,1163,150,28,122,353,121,232,161,66,95,278,140,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6744,6700,1429,1044,468,920,868,930,1041,44,6680,643,600,146,454,43,6037,6019,1989,299,3731,18,12456,7283,3499,3784,495,3289,5173,4317,856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21912,5761,1750,1567,174,0,0,9,4011,3878,44,28,61,0,7555,4691,4590,101,0,0,0,2864,2779,30,32,23,0,5338,3287,3103,136,48,0,0,2051,1969,56,26,0,0,3258,2248,1952,146,98,52,0,1010,916,18,29,47,0,5694,3460,523,197,326,51,2886,2234,742171400,484412400,257759000,5694,3460,654,1497,479,452,303,75,2234,643,858,278,319,116,20,1261,1299,1194,5694,3460,1132,2328,2234,553,1681,31108,10110,7974,2126,6884,2136,8749,6601,4653,3119,2148,5833,4742,3949,1338,1091,3450,2787,2521,749,663,2966,2558,2379,707,408,32326,31785,5924,25336,44,281,10,190,541,166,375,426,77,0,78,4,267,115,0
